Student Name,Student ID,Subject,Score,Total Questions
Sokha Rathana,STU001,Mathematics,85,100
Sokha Rathana,STU001,English,72,100
Sokha Rathana,STU001,Science,90,100
Voeun King,STU002,Mathematics,78,100
Voeun King,STU002,English,88,100
Voeun King,STU002,Science,65,100
Leng Sokkhoeurn,STU003,Mathematics,92,100
Leng Sokkhoeurn,STU003,English,81,100
Leng Sokkhoeurn,STU003,Science,76,100
Chan Dara,STU004,Mathematics,55,100
Chan Dara,STU004,English,60,100
Chan Dara,STU004,Science,58,100
Chea Vannak,STU005,Mathematics,45,100
Chea Vannak,STU005,English,50,100
Chea Vannak,STU005,Science,48,100
